pdf_row_id,Bounds,Page,Path,filePaths,attributes.BBox,attributes.NumCol,attributes.NumRow,attributes.Placement,attributes.SpaceAfter,attributes.BackgroundColor,attributes.BlockAlign,attributes.BorderColor,attributes.BorderStyle,attributes.BorderThickness,attributes.ColIndex,attributes.Height,attributes.InlineAlign,attributes.RowIndex,attributes.Width,HasClip,Lang,Text,TextSize,Font.alt_family_name,Font.embedded,Font.encoding,Font.family_name,Font.font_type,Font.italic,Font.monospaced,Font.name,Font.subset,Font.weight,attributes.LineHeight,Kids,Reference,attributes.TextAlign,attributes.RowSpan
140,"[72.52400207519531, 216.58900451660156, 535.7640075683594, 261.53900146484375]",2.0,//Document/L[5]/LI[8]/LBody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"[63.17399597167969, 216.58900451660156, 535.7640075683594, 261.53900146484375]",2.0,//Document/L[5]/LI[8],,,,,,8.0,,,,,,,,,,,,en,,,,,,,,,,,,,14.0,,,Justify,
142,"[63.17399597167969, 202.58700561523438, 67.27400207519531, 206.68699645996094]",2.0,//Document/L[5]/LI[9]/Lbl/Figure,,"[63.47739999999976, 202.79599999999482, 67.19729999999981, 206.51599999999598]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"[72.52400207519531, 196.58900451660156, 398.3939971923828, 213.53900146484375]",2.0,//Document/L[5]/LI[9]/LBody,,,,,,,,,,,,,,,,,False,,collecting and promptly remitting any and all amounts due Fannie Mae; ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
144,"[63.17399597167969, 196.58900451660156, 398.3939971923828, 213.53900146484375]",2.0,//Document/L[5]/LI[9],,,,,,6.125,,,,,,,,,,,,en,,,,,,,,,,,,,12.0,,,,
145,"[63.17399597167969, 182.58700561523438, 67.27400207519531, 186.68699645996094]",2.0,//Document/L[5]/LI[10]/Lbl/Figure,,"[63.47739999999976, 182.7569999999978, 67.19729999999981, 186.47699999999895]",,,Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"[63.17399597167969, 162.58900451660156, 553.4940032958984, 193.53900146484375]",2.0,//Document/L[5]/LI[10],,,,,,6.0,,,,,,,,,,,False,en,"taking prompt and appropriate action to resolve or prevent a delinquency, including any action necessary to liquidate a defaulted mortgage loan (see Parts D and E for additional information); ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,13.875,,,,
147,"[63.17399597167969, 148.58700561523438, 67.27400207519531, 152.68699645996094]",2.0,//Document/L[5]/LI[11]/Lbl/Figure,,"[63.47739999999976, 148.79799999999523, 67.19729999999981, 152.5179999999964]",,,Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,"[72.52400207519531, 142.58900451660156, 552.8739929199219, 159.53900146484375]",2.0,//Document/L[5]/LI[11]/LBody,,,,,,,,,,,,,,,,,False,,performing certain administrative functions related to an acquired property when Fannie Mae so requests ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
149,"[72.52400207519531, 128.58900451660156, 97.52400207519531, 145.53900146484375]",2.0,//Document/L[5]/LI[11]/LBody,,,,,,,,,,,,,,,,,False,,(see  ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
150,"[97.52400207519531, 128.58900451660156, 346.54400634765625, 145.53900146484375]",2.0,//Document/L[5]/LI[11]/LBody/Reference,,,,,,,,,,,,,,,,,False,,"E-4.3-01, Managing the Property Post-Foreclosure Sale ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
151,"[346.9040069580078, 128.58900451660156, 470.7539978027344, 145.53900146484375]",2.0,//Document/L[5]/LI[11]/LBody,,,,,,,,,,,,,,,,,False,,for additional information); ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
152,"[72.52400207519531, 128.58900451660156, 552.8739929199219, 159.53900146484375]",2.0,//Document/L[5]/LI[11]/LBody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"[63.17399597167969, 128.58900451660156, 552.8739929199219, 159.53900146484375]",2.0,//Document/L[5]/LI[11],,,,,,5.875,,,,,,,,,,,,en,,,,,,,,,,,,,14.0,,,,
154,"[63.17399597167969, 114.58700561523438, 67.27400207519531, 118.68699645996094]",2.0,//Document/L[5]/LI[12]/Lbl/Figure,,"[63.47739999999976, 114.71999999999753, 67.19729999999981, 118.43899999999849]",,,Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"[63.17399597167969, 94.58900451660156, 531.8840026855469, 125.53900146484375]",2.0,//Document/L[5]/LI[12],,,,,,18.0,,,,,,,,,,,False,en,"advancing reasonable amounts, if necessary, to cover expenses arising in connection with any of the duties described above; and ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,14.0,,,,
156,"[63.17399597167969, 772.1869964599609, 67.27400207519531, 776.2870025634766]",3.0,//Document/L[6]/LI/Lbl/Figure,,"[63.47739999999976, 772.292999999976, 67.19729999999981, 776.0129999999772]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"[72.52400207519531, 766.1889953613281, 414.96400451660156, 783.1390075683594]",3.0,//Document/L[6]/LI/LBody,,,,,,,,,,,,,,,,,False,,providing timely payoﬀ quotes and refunds of escrow deposits after payoﬀ. ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
158,"[63.17399597167969, 766.1889953613281, 414.96400451660156, 783.1390075683594]",3.0,//Document/L[6]/LI,,,,,,18.0,,,,,,,,,,,,en,,,,,,,,,,,,,12.0,,,,
159,"[63.17399597167969, 766.1889953613281, 414.96400451660156, 783.1390075683594]",3.0,//Document/L[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"[42.52400207519531, 737.9889984130859, 458.8739929199219, 754.9389953613281]",3.0,//Document/P[10],,,,,,15.875,,,,,,,,,,,False,en,The servicer must use good judgment and take the actions described in the following table. ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,12.0,,,,
161,"[59.05400085449219, 420.53900146484375, 538.9239959716797, 719.4190063476562]",3.0,//Document/Table[3],['tables/fileoutpart2.xlsx'],"[42.47829999999885, 409.7879999999859, 553.0569999999716, 728.9749999999767]",2.0,7.0,Block,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"[59.05400085449219, 703.5189971923828, 69.093994140625, 719.4190063476562]",3.0,//Document/Table[3]/TR/TD,,"[42.47829999999885, 694.6559999999881, 81.71669999999722, 728.9749999999767]",,,,,,Middle,"[[0.7019649999999729, 0.7019649999999729, 0.7019649999999729], [0.7019649999999729, 0.7019649999999729, 0.7019649999999729], None, [0.7019649999999729, 0.7019649999999729, 0.7019649999999729]]","['Solid', 'Solid', 'None', 'Solid']","[0.875, 0.375, 0, 0.375]",0.0,34.375,Center,0.0,39.25,,,,,,,,,,,,,,,,,,,
163,"[59.05400085449219, 703.5189971923828, 69.093994140625, 719.4190063476562]",3.0,//Document/Table[3]/TR/TD/P,,,,,,,,,,,,,,,,,False,en,✓ ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed-Bold,True,700.0,12.0,,,,
164,"[266.9040069580078, 703.5189971923828, 370.73399353027344, 719.4190063476562]",3.0,//Document/Table[3]/TR/TD[2],,"[80.87669999999707, 694.6559999999881, 553.8969999999972, 728.9749999999767]",,,,,,Middle,"[0.7019649999999729, 0.7019649999999729, 0.7019649999999729]",Solid,"[0.875, 0.375, 0.375, 0.875]",1.0,34.375,Start,0.0,473.0,,,,,,,,,,,,,,,,,,,
165,"[266.9040069580078, 703.5189971923828, 370.73399353027344, 719.4190063476562]",3.0,//Document/Table[3]/TR/TD[2]/P,,,,,,,,,,,,,,,,,False,en,The servicer must... ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed-Bold,True,700.0,12.0,,,,
166,,,//Document/Table[3]/TR[2]/TD,,"[42.47829999999885, 641.377999999997, 81.71669999999722, 695.4959999999846]",,,,,,Before,"[[0.7019649999999729, 0.7019649999999729, 0.7019649999999729], [0.7019649999999729, 0.7019649999999729, 0.7019649999999729], None, [0.7019649999999729, 0.7019649999999729, 0.7019649999999729]]","['Solid', 'Solid', 'None', 'Solid']","[0.375, 0.375, 0, 0.375]",0.0,54.125,Center,1.0,39.25,,,,,,,,,,,,,,,,,,,
167,"[93.13400268554688, 652.2890014648438, 520.0839996337891, 685.2389984130859]",3.0,//Document/Table[3]/TR[2]/TD[2],,"[80.87669999999707, 641.377999999997, 553.8969999999972, 695.4959999999846]",,,,,,Middle,"[0.7019649999999729, 0.7019649999999729, 0.7019649999999729]",Solid,"[0.375, 0.375, 0.375, 0.875]",1.0,54.125,Start,1.0,473.0,,,,,,,,,,,,,,,,,,,
168,"[93.13400268554688, 652.2890014648438, 520.0839996337891, 685.2389984130859]",3.0,//Document/Table[3]/TR[2]/TD[2]/P,,,,,,,,,,,,,,,,,False,en,Exercise sound professional judgment as the mortgage loan servicer in the performance of its duties. ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,16.0,,,,
169,,,//Document/Table[3]/TR[3]/TD,,"[42.47829999999885, 589.4199999999837, 81.71669999999722, 642.2179999999935]",,,,,,Before,"[[0.7019649999999729, 0.7019649999999729, 0.7019649999999729], [0.7019649999999729, 0.7019649999999729, 0.7019649999999729], None, [0.7019649999999729, 0.7019649999999729, 0.7019649999999729]]","['Solid', 'Solid', 'None', 'Solid']","[0.375, 0.375, 0, 0.375]",0.0,52.75,Center,2.0,39.25,,,,,,,,,,,,,,,,,,,
170,"[93.13400268554688, 599.5390014648438, 538.9239959716797, 632.4889984130859]",3.0,//Document/Table[3]/TR[3]/TD[2],,"[80.87669999999707, 589.4199999999837, 553.8969999999972, 642.2179999999935]",,,,,,Middle,"[0.7019649999999729, 0.7019649999999729, 0.7019649999999729]",Solid,"[0.375, 0.375, 0.375, 0.875]",1.0,52.75,Start,2.0,473.0,,,,,,,,,,,,,,,,,,,
171,"[93.13400268554688, 599.5390014648438, 538.9239959716797, 632.4889984130859]",3.0,//Document/Table[3]/TR[3]/TD[2]/P,,,,,,,,,,,,,,,,,False,en,"Use its discretion to apply appropriate judgment in dealing with borrowers and mortgage loans on a case-by-case basis, consistent with Fannie Mae’s servicing policies. ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,16.0,,,,
172,,,//Document/Table[3]/TR[4]/TD,,"[42.47829999999885, 537.5819999999949, 81.71669999999722, 590.2599999999802]",,,,,,Before,"[[0.7019649999999729, 0.7019649999999729, 0.7019649999999729], [0.7019649999999729, 0.7019649999999729, 0.7019649999999729], None, [0.7019649999999729, 0.7019649999999729, 0.7019649999999729]]","['Solid', 'Solid', 'None', 'Solid']","[0.375, 0.375, 0, 0.375]",0.0,52.625,Center,3.0,39.25,,,,,,,,,,,,,,,,,,,
173,"[93.13400268554688, 546.7890014648438, 533.1139984130859, 579.7389984130859]",3.0,//Document/Table[3]/TR[4]/TD[2],,"[80.87669999999707, 537.5819999999949, 553.8969999999972, 590.2599999999802]",,,,,,Middle,"[0.7019649999999729, 0.7019649999999729, 0.7019649999999729]",Solid,"[0.375, 0.375, 0.375, 0.875]",1.0,52.625,Start,3.0,473.0,,,,,,,,,,,,,,,,,,,
174,"[93.13400268554688, 546.7890014648438, 533.1139984130859, 579.7389984130859]",3.0,//Document/Table[3]/TR[4]/TD[2]/P,,,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,16.125,"[{'Bounds': [93.13400268554688, 546.7890014648438, 533.1139984130859, 579.7389984130859], 'Font': {'alt_family_name': 'Deja Vu Sans Condensed', 'embedded': True, 'encoding': 'Identity-H', 'family_name': 'Deja Vu Sans Condensed', 'font_type': 'CIDFontType2', 'italic': False, 'monospaced': False, 'name': 'MPDFAA+DejaVuSansCondensed', 'subset': True, 'weight': 400}, 'HasClip': False, 'Page': 3, 'Path': '//Document/Table[3]/TR[4]/TD[2]/P', 'Text': 'Perform specific administrative responsibilities and business obligations in the overall conduct of its mortgage loan operations as described in the ', 'TextSize': 10.0}, {'Bounds': [315.0039978027344, 547.9190063476562, 391.2740020751953, 562.0989990234375], 'Font': {'alt_family_name': 'Deja Vu Sans Condensed', 'embedded': True, 'encoding': 'Identity-H', 'family_name': 'Deja Vu Sans Condensed', 'font_type': 'CIDFontType2', 'italic': True, 'monospaced': False, 'name': 'MPDFAA+DejaVuSansCondensed-Oblique', 'subset': True, 'weight': 400}, 'HasClip': False, 'Page': 3, 'Path': '//Document/Table[3]/TR[4]/TD[2]/P/Span', 'Text': 'Servicing Guide. ', 'TextSize': 10.0}]",,,
175,"[93.13400268554688, 546.7890014648438, 533.1139984130859, 579.7389984130859]",3.0,//Document/Table[3]/TR[4]/TD[2]/P,,,,,,,,,,,,,,,,,False,,Perform specific administrative responsibilities and business obligations in the overall conduct of its mortgage loan operations as described in the ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
176,"[315.0039978027344, 547.9190063476562, 391.2740020751953, 562.0989990234375]",3.0,//Document/Table[3]/TR[4]/TD[2]/P/Span,,,,,,,,,,,,,,,,,False,,Servicing Guide. ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,True,False,MPDFAA+DejaVuSansCondensed-Oblique,True,400.0,,,,,
177,,,//Document/Table[3]/TR[5]/TD,,"[42.47829999999885, 500.1439999999857, 81.71669999999722, 538.4219999999914]",,,,,,Before,"[[0.7019649999999729, 0.7019649999999729, 0.7019649999999729], [0.7019649999999729, 0.7019649999999729, 0.7019649999999729], None, [0.7019649999999729, 0.7019649999999729, 0.7019649999999729]]","['Solid', 'Solid', 'None', 'Solid']","[0.375, 0.375, 0, 0.375]",0.0,38.25,Center,4.0,39.25,,,,,,,,,,,,,,,,,,,
178,"[93.13400268554688, 510.03900146484375, 366.7539978027344, 526.9889984130859]",3.0,//Document/Table[3]/TR[5]/TD[2],,"[80.87669999999707, 500.1439999999857, 553.8969999999972, 538.4219999999914]",,,,,,Middle,"[0.7019649999999729, 0.7019649999999729, 0.7019649999999729]",Solid,"[0.375, 0.375, 0.375, 0.875]",1.0,38.25,Start,4.0,473.0,,,,,,,,,,,,,,,,,,,
179,"[93.13400268554688, 510.03900146484375, 366.7539978027344, 526.9889984130859]",3.0,//Document/Table[3]/TR[5]/TD[2]/P,,,,,,,,,,,,,,,,,False,en,"Service all mortgage loans in a sound, businesslike manner. ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,12.0,,,,
180,,,//Document/Table[3]/TR[6]/TD,,"[42.47829999999885, 446.86599999999453, 81.71669999999722, 500.98399999999674]",,,,,,Before,"[[0.7019649999999729, 0.7019649999999729, 0.7019649999999729], [0.7019649999999729, 0.7019649999999729, 0.7019649999999729], None, [0.7019649999999729, 0.7019649999999729, 0.7019649999999729]]","['Solid', 'Solid', 'None', 'Solid']","[0.375, 0.375, 0, 0.375]",0.0,54.125,Center,5.0,39.25,,,,,,,,,,,,,,,,,,,
181,"[93.13400268554688, 457.28900146484375, 529.4640045166016, 490.23899841308594]",3.0,//Document/Table[3]/TR[6]/TD[2],,"[80.87669999999707, 446.86599999999453, 553.8969999999972, 500.98399999999674]",,,,,,Middle,"[0.7019649999999729, 0.7019649999999729, 0.7019649999999729]",Solid,"[0.375, 0.375, 0.375, 0.875]",1.0,54.125,Start,5.0,473.0,,,,,,,,,,,,,,,,,,,
182,"[93.13400268554688, 457.28900146484375, 529.4640045166016, 490.23899841308594]",3.0,//Document/Table[3]/TR[6]/TD[2]/P,,,,,,,,,,,,,,,,,False,en,"Protect against fraud, misrepresentation, or negligence by any parties involved in the mortgage loan servicing process. ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,16.0,,,,
183,,,//Document/Table[3]/TR[7]/TD,,"[42.47829999999885, 409.7879999999859, 81.71669999999722, 447.70599999999104]",,,,,,Before,"[[0.7019649999999729, 0.7019649999999729, 0.7019649999999729], None, None, [0.7019649999999729, 0.7019649999999729, 0.7019649999999729]]","['Solid', 'None', 'None', 'Solid']","[0.375, 0, 0, 0.375]",0.0,37.875,Center,6.0,39.25,,,,,,,,,,,,,,,,,,,
184,"[93.13400268554688, 420.53900146484375, 333.9040069580078, 437.48899841308594]",3.0,//Document/Table[3]/TR[7]/TD[2],,"[80.87669999999707, 409.7879999999859, 553.8969999999972, 447.70599999999104]",,,,,,Middle,"[[0.7019649999999729, 0.7019649999999729, 0.7019649999999729], None, [0.7019649999999729, 0.7019649999999729, 0.7019649999999729], [0.7019649999999729, 0.7019649999999729, 0.7019649999999729]]","['Solid', 'None', 'Solid', 'Solid']","[0.375, 0, 0.375, 0.875]",1.0,37.875,Start,6.0,473.0,,,,,,,,,,,,,,,,,,,
185,"[93.13400268554688, 420.53900146484375, 333.9040069580078, 437.48899841308594]",3.0,//Document/Table[3]/TR[7]/TD[2]/P,,,,,,,,,,,,,,,,,False,en,Have adequate controls and QC procedures in place. ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,12.0,,,,
186,"[42.52400207519531, 383.58900451660156, 421.6439971923828, 400.53900146484375]",3.0,//Document/P[11],,,,,,18.0,,,,,,,,,,,False,en,Fannie Mae’s basic servicing policies do not change on the basis of its lien position. ,10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,12.0,,,,
187,"[42.52400207519531, 342.1529998779297, 235.63999938964844, 365.88299560546875]",3.0,//Document/H2[4],,,,,,18.0,,,,,,,,,,,False,en,Maintaining Fair Lending Data ,14.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,16.75,,,,
188,"[42.52400207519531, 297.1889953613281, 542.093994140625, 328.1390075683594]",3.0,//Document/P[12],,,,,,13.25,,,,,,,,,,,False,en,"For mortgage loans originated on or after March 1, 2023, the servicer must maintain the following fair lending data elements in a queryable format for each mortgage loan if obtained during the origination process: ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,14.0,,,,
189,"[63.17399597167969, 215.98899841308594, 231.7239990234375, 288.9389953613281]",3.0,//Document/L[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'Bounds': [63.17399597167969, 277.98699951171875, 67.27400207519531, 282.0870056152344], 'Page': 3, 'Path': '//Document/L[7]/LI/Lbl/Figure', 'attributes': {'BBox': [63.47739999999976, 278.15299999999115, 67.19729999999981, 281.8729999999923]}}, {'Bounds': [72.52400207519531, 271.98899841308594, 164.38400268554688, 288.9389953613281], 'Font': {'alt_family_name': 'Deja Vu Sans Condensed', 'embedded': True, 'encoding': 'Identity-H', 'family_name': 'Deja Vu Sans Condensed', 'font_type': 'CIDFontType2', 'italic': False, 'monospaced': False, 'name': 'MPDFAA+DejaVuSansCondensed', 'subset': True, 'weight': 400}, 'HasClip': False, 'Page': 3, 'Path': '//Document/L[7]/LI/LBody', 'Text': 'race of borrower(s), ', 'TextSize': 10.0}, {'Bounds': [63.17399597167969, 271.98899841308594, 164.38400268554688, 288.9389953613281], 'Lang': 'en', 'Page': 3, 'Path': '//Document/L[7]/LI', 'attributes': {'LineHeight': 12}}, {'Bounds': [63.17399597167969, 263.98699951171875, 67.27400207519531, 268.0870056152344], 'Page': 3, 'Path': '//Document/L[7]/LI[2]/Lbl/Figure', 'attributes': {'BBox': [63.47739999999976, 264.11399999998685, 67.19729999999981, 267.8329999999987]}}, {'Bounds': [72.52400207519531, 257.98899841308594, 183.95399475097656, 274.9389953613281], 'Font': {'alt_family_name': 'Deja Vu Sans Condensed', 'embedded': True, 'encoding': 'Identity-H', 'family_name': 'Deja Vu Sans Condensed', 'font_type': 'CIDFontType2', 'italic': False, 'monospaced': False, 'name': 'MPDFAA+DejaVuSansCondensed', 'subset': True, 'weight': 400}, 'HasClip': False, 'Page': 3, 'Path': '//Document/L[7]/LI[2]/LBody', 'Text': 'ethnicity of borrower(s), ', 'TextSize': 10.0}, {'Bounds': [63.17399597167969, 257.98899841308594, 183.95399475097656, 274.9389953613281], 'Lang': 'en', 'Page': 3, 'Path': '//Document/L[7]/LI[2]', 'attributes': {'LineHeight': 12}}, {'Bounds': [63.17399597167969, 249.98699951171875, 67.27400207519531, 254.08700561523438], 'Page': 3, 'Path': '//Document/L[7]/LI[3]/Lbl/Figure', 'attributes': {'BBox': [63.47739999999976, 250.19399999999587, 67.19729999999981, 253.91399999999703]}}, {'Bounds': [72.52400207519531, 243.98899841308594, 161.44400024414062, 260.9389953613281], 'Font': {'alt_family_name': 'Deja Vu Sans Condensed', 'embedded': True, 'encoding': 'Identity-H', 'family_name': 'Deja Vu Sans Condensed', 'font_type': 'CIDFontType2', 'italic': False, 'monospaced': False, 'name': 'MPDFAA+DejaVuSansCondensed', 'subset': True, 'weight': 400}, 'HasClip': False, 'Page': 3, 'Path': '//Document/L[7]/LI[3]/LBody', 'Text': 'age of borrower(s), ', 'TextSize': 10.0}, {'Bounds': [63.17399597167969, 243.98899841308594, 161.44400024414062, 260.9389953613281], 'Lang': 'en', 'Page': 3, 'Path': '//Document/L[7]/LI[3]', 'attributes': {'LineHeight': 12}}, {'Bounds': [63.17399597167969, 235.98699951171875, 67.27400207519531, 240.08700561523438], 'Page': 3, 'Path': '//Document/L[7]/LI[4]/Lbl/Figure', 'attributes': {'BBox': [63.47739999999976, 236.15499999999884, 67.19729999999981, 239.875]}}, {'Bounds': [72.52400207519531, 229.98899841308594, 196.72398376464844, 246.93899536132812], 'Font': {'alt_family_name': 'Deja Vu Sans Condensed', 'embedded': True, 'encoding': 'Identity-H', 'family_name': 'Deja Vu Sans Condensed', 'font_type': 'CIDFontType2', 'italic': False, 'monospaced': False, 'name': 'MPDFAA+DejaVuSansCondensed', 'subset': True, 'weight': 400}, 'HasClip': False, 'Page': 3, 'Path': '//Document/L[7]/LI[4]/LBody', 'Text': 'gender of borrower(s), and ', 'TextSize': 10.0}, {'Bounds': [63.17399597167969, 229.98899841308594, 196.72398376464844, 246.93899536132812], 'Lang': 'en', 'Page': 3, 'Path': '//Document/L[7]/LI[4]', 'attributes': {'LineHeight': 12}}, {'Bounds': [63.17399597167969, 221.98699951171875, 67.27400207519531, 226.08700561523438], 'Page': 3, 'Path': '//Document/L[7]/LI[5]/Lbl/Figure', 'attributes': {'BBox': [63.47739999999976, 222.11499999999796, 67.19729999999981, 225.83499999999913]}}, {'Bounds': [72.52400207519531, 215.98899841308594, 231.7239990234375, 232.93899536132812], 'Font': {'alt_family_name': 'Deja Vu Sans Condensed', 'embedded': True, 'encoding': 'Identity-H', 'family_name': 'Deja Vu Sans Condensed', 'font_type': 'CIDFontType2', 'italic': False, 'monospaced': False, 'name': 'MPDFAA+DejaVuSansCondensed', 'subset': True, 'weight': 400}, 'HasClip': False, 'Page': 3, 'Path': '//Document/L[7]/LI[5]/LBody', 'Text': 'preferred language of borrower(s). ', 'TextSize': 10.0}, {'Bounds': [63.17399597167969, 215.98899841308594, 231.7239990234375, 232.93899536132812], 'Lang': 'en', 'Page': 3, 'Path': '//Document/L[7]/LI[5]', 'attributes': {'LineHeight': 12, 'SpaceAfter': 11.125}}]",,,
190,"[63.17399597167969, 277.98699951171875, 67.27400207519531, 282.0870056152344]",3.0,//Document/L[7]/LI/Lbl/Figure,,"[63.47739999999976, 278.15299999999115, 67.19729999999981, 281.8729999999923]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"[72.52400207519531, 271.98899841308594, 164.38400268554688, 288.9389953613281]",3.0,//Document/L[7]/LI/LBody,,,,,,,,,,,,,,,,,False,,"race of borrower(s), ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
192,"[63.17399597167969, 271.98899841308594, 164.38400268554688, 288.9389953613281]",3.0,//Document/L[7]/LI,,,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,12.0,,,,
193,"[63.17399597167969, 263.98699951171875, 67.27400207519531, 268.0870056152344]",3.0,//Document/L[7]/LI[2]/Lbl/Figure,,"[63.47739999999976, 264.11399999998685, 67.19729999999981, 267.8329999999987]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"[72.52400207519531, 257.98899841308594, 183.95399475097656, 274.9389953613281]",3.0,//Document/L[7]/LI[2]/LBody,,,,,,,,,,,,,,,,,False,,"ethnicity of borrower(s), ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
195,"[63.17399597167969, 257.98899841308594, 183.95399475097656, 274.9389953613281]",3.0,//Document/L[7]/LI[2],,,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,12.0,,,,
196,"[63.17399597167969, 249.98699951171875, 67.27400207519531, 254.08700561523438]",3.0,//Document/L[7]/LI[3]/Lbl/Figure,,"[63.47739999999976, 250.19399999999587, 67.19729999999981, 253.91399999999703]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"[72.52400207519531, 243.98899841308594, 161.44400024414062, 260.9389953613281]",3.0,//Document/L[7]/LI[3]/LBody,,,,,,,,,,,,,,,,,False,,"age of borrower(s), ",10.0,Deja Vu Sans Condensed,True,Identity-H,Deja Vu Sans Condensed,CIDFontType2,False,False,MPDFAA+DejaVuSansCondensed,True,400.0,,,,,
198,"[63.17399597167969, 243.98899841308594, 161.44400024414062, 260.9389953613281]",3.0,//Document/L[7]/LI[3],,,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,12.0,,,,
199,"[63.17399597167969, 235.98699951171875, 67.27400207519531, 240.08700561523438]",3.0,//Document/L[7]/LI[4]/Lbl/Figure,,"[63.47739999999976, 236.15499999999884, 67.19729999999981, 239.875]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
